title,link
"Blowback Air Gun Beretta M92A1 CO2 .177cal, no license required air gun",https://www.youtube.com/shorts/0o8XCH2Uvk8
M1911 - Gun Sounds in 130 Different Games,https://www.youtube.com/watch?v=oPECjzvr3U0&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
Men v.s. Women: Machine Gun Noises,https://www.youtube.com/watch?v=Mr1g-ikyNiI&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
I Built a Supersonic NERF Blaster,https://www.youtube.com/watch?v=7ac-VGvrH-Y&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
Blank gun vs live gun sound comparison,https://www.youtube.com/watch?v=imCWcxMjdqA&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
M4A1 Carbine - Gun Sounds in 90 Different Games,https://www.youtube.com/watch?v=83Zyjn9107U&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
90 Second Sound Design - Gun Sound Effects from Scratch,https://www.youtube.com/watch?v=oQsNU7lZe0Q&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
Gun Sounds (feat. Zay Ade),https://www.youtube.com/watch?v=PI01Znt_WxA&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
A-10C Flyby Gun Sounds | DCS World,https://www.youtube.com/watch?v=cnk1GxqpEsw&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
AK-47 Sound ~ Gun Shot Sound Effect,https://www.youtube.com/watch?v=Z594L4dnepk&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
6ix9ine Gun Sound (Hung),https://www.youtube.com/shorts/cdyz8nXnmug
[Payday 2] Funny Gun Sounds (April Fools 2016 Update),https://www.youtube.com/watch?v=3pdD8bf7LHo&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
World of Tanks - Gnomefathers Historical Gun Sounds,https://www.youtube.com/watch?v=bsulIAh7-Ks&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
*NEW* Gun Noise for SMG's in Call of Duty 🤣,https://www.youtube.com/shorts/TegNZCCrtZY
GUESS THAT VIDEO GAME GUN SOUND | OpTic Trivia,https://www.youtube.com/watch?v=oa4SfV7n41A&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
ASMR Detailed Gun Cleaning Sounds,https://www.youtube.com/watch?v=p33qMGs_-Vo&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
Shot Gun Sound Effect | Sfx | HD,https://www.youtube.com/watch?v=T7cvyibN8Y8&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
Battlefield 4: Realistic Gun Sounds [60fps],https://www.youtube.com/watch?v=mfJeNMPBuRQ&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
GUESS THAT GUN SOUND CHALLENGE! #2 - FORTNITE | tusadivi,https://www.youtube.com/watch?v=xgKn0AP37-8&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
How To Make Modern Gun Sound Effects For Film & Video Games Part 2,https://www.youtube.com/watch?v=zoiicofPPPU&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
GUESS THE COD GUN *SOUND* CHALLENGE!,https://www.youtube.com/watch?v=HsLSpdJhW-4&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
Gun sound effect,https://www.youtube.com/watch?v=QgZ3jg1cAGc&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
Extra: Gunshot noise demonstration,https://www.youtube.com/watch?v=dot_OEi89lg&pp=ygUKZ3VuIHNvdW5kcw%3D%3D
